name,market_value_eur,contract_until,tm_photo_url,tm_id,age,foot,height,position,dob
A. Jakobsen,1800000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/503602-1737583672.jpg,503602.0,,,,,
O. Camara,8000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/1053206-1772459112.jpg,1053206.0,,,,,
Varo García,400000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/783419-1701285428.jpg,783419.0,,,,,
Ramón Vila,,,https://img.a.transfermarkt.technology/portrait/big/624905-1693666284.jpg,624905.0,,,,,
Pablo Valencia,,,https://img.a.transfermarkt.technology/portrait/big/634117-1700856593.png,634117.0,,,,,
Floris Smand,,,https://img.a.transfermarkt.technology/portrait/big/899710-1664799393.jpg,899710.0,,,,,
Álex Serradell,,,https://img.a.transfermarkt.technology/portrait/big/1062525-1677397176.jpg,1062525.0,,,,,
Arnau Gaixas,,,https://img.a.transfermarkt.technology/portrait/big/499145.jpg,499145.0,,,,,
Dario Dumic,,,https://img.a.transfermarkt.technology/portrait/big/78818-1657048651.jpg,78818.0,,,,,
Óscar Vega,,,https://img.a.transfermarkt.technology/portrait/big/1369164-1737915776.JPG,1369164.0,,,,,
David Ruiz,200000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/669517.jpg,669517.0,,,,,
Jaime Vallejo,,,https://img.a.transfermarkt.technology/portrait/big/708498.jpg,708498.0,,,,,
Jesús Clemente,,,https://img.a.transfermarkt.technology/portrait/big/805479-1721836496.jpg,805479.0,,,,,
Borja Calvo,,,https://img.a.transfermarkt.technology/portrait/big/961985-1688148696.png,961985.0,,,,,
Guillermo Macho,,,https://img.a.transfermarkt.technology/portrait/big/1066093-1731445367.jpg,1066093.0,,,,,
Rubén Quintanilla,,,https://img.a.transfermarkt.technology/portrait/big/1056655-1733488633.jpg,1056655.0,,,,,
Manu Molina,100000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/160671-1725885723.jpg,160671.0,,,,,
Nacho Quintana,,,https://img.a.transfermarkt.technology/portrait/big/536826-1688148906.png,536826.0,,,,,
Marcos Bustillo,,,https://img.a.transfermarkt.technology/portrait/big/636147-1732058950.png,636147.0,,,,,
Boston Billups,,,https://img.a.transfermarkt.technology/portrait/big/1109812-1705605386.jpg,1109812.0,,,,,
Rafa Núñez,,,https://img.a.transfermarkt.technology/portrait/big/589456-1629022489.jpg,589456.0,,,,,
Fidel,,,https://img.a.transfermarkt.technology/portrait/big/149231-1745339633.jpg,149231.0,,,,,
Hamza Bellari,,,https://img.a.transfermarkt.technology/portrait/big/1123335.jpg,1123335.0,,,,,
Alejandro Ibarrondo,,,https://img.a.transfermarkt.technology/portrait/big/625066.jpg,625066.0,,,,,
Rober Ibáñez,,,https://img.a.transfermarkt.technology/portrait/big/242532-1747859878.png,242532.0,,,,,
Hugo Alba,500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/937957-1745910886.jpg,937957.0,,,,,
Israel Salazar,100000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/634430-1700777589.jpg,634430.0,,,,,
Dioni,,,https://img.a.transfermarkt.technology/portrait/big/164402-1666731117.jpg,164402.0,,,,,
I. Nikić,500000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/938509-1671105683.jpg,938509.0,,,,,
Juanpa Palomares,,,https://img.a.transfermarkt.technology/portrait/big/635318-1732141054.png,635318.0,,,,,
Jorge Cabello,900000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/1063333-1726053748.jpg,1063333.0,,,,,
N. Maraš,800000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/258475-1726303551.jpg,258475.0,,,,,
Juan Gutiérrez,800000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/531121-1677265811.png,531121.0,,,,,
Adrián Pica,600000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/895458-1751442592.jpg,895458.0,,,,,
Iker Córdoba,500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/834463.jpg,834463.0,,,,,
Martín Pascual,400000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/638588-1731931158.jpg,638588.0,,,,,
Postigo,100000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/158791-1541153650.jpg,158791.0,,,,,
Fernando Medrano,400000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/461619.jpg,461619.0,,,,,
Pablo Pérez,200000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/711628-1731932612.jpg,711628.0,,,,,
Hugo Novoa,800000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/668276-1606146927.jpg,668276.0,,,,,
Toni Tamarit,500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/1344793.jpg,1344793.0,,,,,
T. Helguera,3500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/997827.jpg,997827.0,,,,,
M. Malsa,300000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/205569-1595418868.jpg,205569.0,,,,,
Selvi Clua,300000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/1061660-1730842809.jpg,1061660.0,,,,,
Ander Martín,,,https://img.a.transfermarkt.technology/portrait/big/1270449.jpg,1270449.0,,,,,
Rafel Bauzà,1000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/1178721.jpg,1178721.0,,,,,
Javi Hernández,1000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/946279-1725656260.png,946279.0,,,,,
D. Sia,400000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/999402-1698056507.jpg,999402.0,,,,,
S. El Jebari,400000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/935457-1731932970.jpg,935457.0,,,,,
Luis López,300000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/1000630.jpg,1000630.0,,,,,
Iker Varela,300000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/834492-1709678194.png,834492.0,,,,,
A. Houary,300000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/1064538.jpg,1064538.0,,,,,
Siren Diao,1500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/984708-1692961540.jpg,984708.0,,,,,
Carlos Fernández,400000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/89733-1635329024.jpg,89733.0,,,,,
Alberto Marí,800000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/634105-1690382984.jpg,634105.0,,,,,
Unax del Cura,25000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/962144.jpg,962144.0,,,,,
Dani Martín,400000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/537763-1757674439.png,537763.0,,,,,
Gabriel De Vuyst,,,https://img.a.transfermarkt.technology/portrait/big/1334559.jpg,1334559.0,,,,,
A. Landázuri,,,https://img.a.transfermarkt.technology/portrait/big/410696-1732215418.JPG,410696.0,,,,,
Antal Yaakobishvili,,,https://img.a.transfermarkt.technology/portrait/big/923915-1734219905.jpg,923915.0,,,,,
José León,200000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/281773-1536312464.jpg,281773.0,,,,,
Facundo Agüero,,,https://img.a.transfermarkt.technology/portrait/big/441265-1714351381.JPG,441265.0,,,,,
Marc Mateu,,,https://img.a.transfermarkt.technology/portrait/big/96539-1662973084.png,96539.0,,,,,
David Rodríguez,,,https://img.a.transfermarkt.technology/portrait/big/820375-1700589642.jpg,820375.0,,,,,
César Álvarez,,,https://img.a.transfermarkt.technology/portrait/big/1191770.jpg,1191770.0,,,,,
Juanjo Sánchez,,,https://img.a.transfermarkt.technology/portrait/big/688747-1732141457.jpg,688747.0,,,,,
Adri Pérez,,,https://img.a.transfermarkt.technology/portrait/big/350208-1724337360.jpg,350208.0,,,,,
Fabricio,,,https://img.a.transfermarkt.technology/portrait/big/949472-1739478537.JPG,949472.0,,,,,
Alberto Ulloa,150000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/1030374.jpg,1030374.0,,,,,
Aitor Sanz,50000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/71834-1544703986.jpg,71834.0,,,,,
Dani Fernández,,,https://img.a.transfermarkt.technology/portrait/big/1197368.jpg,1197368.0,,,,,
Cris Montes,150000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/421118.jpg,421118.0,,,,,
Maikel Mesa,,,https://img.a.transfermarkt.technology/portrait/big/197576-1570627792.jpg,197576.0,,,,,
Nacho Gil,400000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/336731-1710266742.jpg,336731.0,,,,,
Alassan Manjam,,,https://img.a.transfermarkt.technology/portrait/big/1067111.jpg,1067111.0,,,,,
Jeremy Jorge,150000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/1041934-1732138514.png,1041934.0,,,,,
Iván Chapela,500000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/412046-1764061607.png,412046.0,,,,,
Jesús de Miguel,,,https://img.a.transfermarkt.technology/portrait/big/598611-1698155371.jpg,598611.0,,,,,
Gastón Valles,,,https://img.a.transfermarkt.technology/portrait/big/1033478.jpg,1033478.0,,,,,
Mahamadou Baldé,,,https://img.a.transfermarkt.technology/portrait/big/1054209-1739271164.jpg,1054209.0,,,,,
Fran Sabina,,,https://img.a.transfermarkt.technology/portrait/big/1254491.jpg,1254491.0,,,,,
Noel López,,,https://img.a.transfermarkt.technology/portrait/big/926854.jpg,926854.0,,,,,
Enric Gallego,,,https://img.a.transfermarkt.technology/portrait/big/114060-1554279788.jpg,114060.0,,,,,
Victor Aznar,1200000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/706797.jpg,706797.0,,,,,
David Gil,400000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/162027-1595508190.jpg,162027.0,,,,,
B. Kovačević,1200000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/845563-1674056748.JPG,845563.0,,,,,
Iker Recio,800000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/628461.jpg,628461.0,,,,,
Jorge Moreno,500000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/717957-1700857994.png,717957.0,,,,,
Sergio Arribas,15000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/537762-1732735550.jpg,537762.0,,,,,
Mario Climent,800000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/720526-1732141963.jpg,720526.0,,,,,
Raúl Pereira,200000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/1064413.jpg,1064413.0,,,,,
Iza Carcelén,500000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/254037-1595432563.jpg,254037.0,,,,,
A. Caicedo,300000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/885179-1714045782.png,885179.0,,,,,
Juan Díaz,50000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/1317650.jpg,1317650.0,,,,,
R. Kouamé,1000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/277635-1751148365.jpg,277635.0,,,,,
M. Diakité,1000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/979235.jpg,979235.0,,,,,
Sergio Ortuño,1000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/531476.jpg,531476.0,,,,,
Y. Diarra,800000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/524008.jpg,524008.0,,,,,
Joaquín González,,,https://img.a.transfermarkt.technology/portrait/big/845512-1731932882.jpg,845512.0,,,,,
Antoñito Cordero,2000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/1178393-1725885968.jpg,1178393.0,,,,,
B. Ocampo,1000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/598765-1720681215.jpg,598765.0,,,,,
Javi Ontiveros,1000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/298983-1629886260.jpg,298983.0,,,,,
I. Tabatadze,1200000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/539965-1685096182.png,539965.0,,,,,
José de la Rosa,1000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/1027993-1725991079.jpg,1027993.0,,,,,
Suso,700000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/111961-1455551677.jpg,111961.0,,,,,
J. Dómina,2000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/1103986-1721144258.png,1103986.0,,,,,
Álvaro García Pascual,1200000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/1305792-1747213987.jpg,1305792.0,,,,,
D. Camara,3500000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/614742-1756729981.jpg,614742.0,,,,,
David Pérez,300000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/73185-1760691725.jpg,73185.0,,,,,
Roger Martí,,,https://img.a.transfermarkt.technology/portrait/big/212391-1447315858.jpg,212391.0,,,,,
Carlos Ramos,,,https://img.a.transfermarkt.technology/portrait/big/142211.jpg,142211.0,,,,,
Nacho Martínez,,,https://img.a.transfermarkt.technology/portrait/big/127554-1541148245.jpg,127554.0,,,,,
Lucho García,,,https://img.a.transfermarkt.technology/portrait/big/469737-1686860290.jpg,469737.0,,,,,
Jhafets Reyes,,,https://img.a.transfermarkt.technology/portrait/big/1182569-1705262593.jpeg,1182569.0,,,,,
Rubén Serrano,,,https://img.a.transfermarkt.technology/portrait/big/635307-1732576969.jpg,635307.0,,,,,
Imanol Baz,,,https://img.a.transfermarkt.technology/portrait/big/634457-1732127937.png,634457.0,,,,,
Marco Carrascal,150000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/720035.jpg,720035.0,,,,,
Eneko Ebro,,,https://img.a.transfermarkt.technology/portrait/big/938727-1709678972.png,938727.0,,,,,
Jesús Hernández,,,https://img.a.transfermarkt.technology/portrait/big/82503-1484149571.jpg,82503.0,,,,,
Nil Jiménez,,,https://img.a.transfermarkt.technology/portrait/big/628491.jpg,628491.0,,,,,
Dani Perejón,,,https://img.a.transfermarkt.technology/portrait/big/708900-1732577258.jpg,708900.0,,,,,
Marc Jurado,,,https://img.a.transfermarkt.technology/portrait/big/709960-1773076266.jpg,709960.0,,,,,
Alejandro Fidalgo,,,https://img.a.transfermarkt.technology/portrait/big/719997.jpg,719997.0,,,,,
Jean Jules,,,https://img.a.transfermarkt.technology/portrait/big/607377-1670769015.png,607377.0,,,,,
Pablo Larrea,,,https://img.a.transfermarkt.technology/portrait/big/373353.jpg,373353.0,,,,,
Edgar Alcañiz,,,https://img.a.transfermarkt.technology/portrait/big/1063336.jpg,1063336.0,,,,,
Luismi Redondo,,,https://img.a.transfermarkt.technology/portrait/big/398183-1700589739.jpg,398183.0,,,,,
Pablo de Blasis,,,https://img.a.transfermarkt.technology/portrait/big/75446-1739197487.jpg,75446.0,,,,,
Yanis Rahmani,,,https://img.a.transfermarkt.technology/portrait/big/255506-1725885876.png,255506.0,,,,,
Willy Chatiliez,200000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/1261327-1757572813.png,1261327.0,,,,,
Carmelo Sánchez,,,https://img.a.transfermarkt.technology/portrait/big/1064139.jpg,1064139.0,,,,,
Chiki,,,https://img.a.transfermarkt.technology/portrait/big/511030-1702510285.png,511030.0,,,,,
Alfredo Ortuño,,,https://img.a.transfermarkt.technology/portrait/big/96540-1521061830.jpg,96540.0,,,,,
L. Zidane,1000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/283489-1762351424.jpg,283489.0,,,,,
Ander Astralaga,800000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/709955-1733947865.jpg,709955.0,,,,,
O. Naasei,1500000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/1185057-1767777170.jpg,1185057.0,,,,,
Loïc Williams,1200000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/707272-1702391417.jpg,707272.0,,,,,
Manu Lama,800000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/628464-1700239966.png,628464.0,,,,,
Bambo Diaby,800000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/435493-1723551440.jpg,435493.0,,,,,
Juanjo Flores,,,https://img.a.transfermarkt.technology/portrait/big/1470456.jpg,1470456.0,,,,,
B. Diallo,800000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/857482-1741190368.jpg,857482.0,,,,,
Diego Hormigo,300000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/767229-1702412410.jpg,767229.0,,,,,
Pau Casadesús,300000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/961936.jpg,961936.0,,,,,
Álvaro Lemos,300000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/230222-1658407547.jpg,230222.0,,,,,
Pedro Alemañ,1200000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/699771-1694855865.jpg,699771.0,,,,,
Sergio Ruiz,1000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/394694-1646522962.jpg,394694.0,,,,,
L. Gagnidze,1000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/724969-1739890919.png,724969.0,,,,,
Izan González,1000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/1060024-1760545215.jpg,1060024.0,,,,,
Rubén Alcaraz,400000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/247250-1541148505.jpg,247250.0,,,,,
Manu Trigueros,400000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/188854-1636627198.jpg,188854.0,,,,,
José Arnáiz,900000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/364603-1732219584.jpg,364603.0,,,,,
Sergio Rodelas,800000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/1064103-1767777545.jpg,1064103.0,,,,,
Álex Sola,1500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/434990-1680536108.jpg,434990.0,,,,,
Pablo Sáenz,700000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/821820-1745339646.jpeg,821820.0,,,,,
Baba Diocou,500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/941567.jpg,941567.0,,,,,
G. Petit,4000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/997814-1719947885.png,997814.0,,,,,
Jorge Pascual,1200000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/669511-1698947254.jpg,669511.0,,,,,
M. Bouldini,400000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/211628-1534832744.jpg,211628.0,,,,,
Alfonso Herrero,400000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/129478-1725618323.jpg,129478.0,,,,,
Carlos López,100000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/1004298-1725883415.jpg,1004298.0,,,,,
Diego Murillo,1000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/635930-1725883727.jpg,635930.0,,,,,
Javi Montero,1000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/396333-1667044270.png,396333.0,,,,,
Einar Galilea,400000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/251046-1646598982.png,251046.0,,,,,
Álex Pastor,300000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/398056-1543829456.jpg,398056.0,,,,,
Recio,,,https://img.a.transfermarkt.technology/portrait/big/897521.jpg,897521.0,,,,,
Dani Sánchez,200000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/207922-1447240270.jpg,207922.0,,,,,
Víctor García,300000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/281588-1668768846.png,281588.0,,,,,
Rafita Garrido,,,https://img.a.transfermarkt.technology/portrait/big/1064717.jpg,1064717.0,,,,,
Carlos Puga,500000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/776703-1725885464.jpg,776703.0,,,,,
Jokin Gabilondo,400000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/711388-1725885519.jpg,711388.0,,,,,
Izan Merino,2000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/1078436-1725885589.jpg,1078436.0,,,,,
Carlos Dotor,1000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/623524-1739477790.jpg,623524.0,,,,,
Juanpe,400000.0,2027-05-31,https://img.a.transfermarkt.technology/portrait/big/115333-1510233713.jpg,115333.0,,,,,
D. Brašanac,200000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/95641-1541146477.jpg,95641.0,,,,,
Ramón Enríquez,200000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/567222-1591178705.jpg,567222.0,,,,,
Dani Lorenzo,1500000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/960562-1725885634.jpg,960562.0,,,,,
Rafa Rodríguez,1000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/1057394-1762764856.jpg,1057394.0,,,,,
A. Ochoa,500000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/1109577-1725885829.jpg,1109577.0,,,,,
Julen Lobete,1200000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/625654-1633347659.jpg,625654.0,,,,,
Joaquín Muñoz,1000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/396334-1710417120.png,396334.0,,,,,
David Larrubia,4000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/635939-1725885924.jpg,635939.0,,,,,
Josué Dorrio,400000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/483453.jpg,483453.0,,,,,
H. Abaida,200000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/667996-1725886034.jpg,667996.0,,,,,
Chupe,6000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/780817-1773830581.jpg,780817.0,,,,,
Adrián Niño,1000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/926849-1731933033.jpg,926849.0,,,,,
Eneko Jauregi,700000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/376589-1725617508.jpg,376589.0,,,,,
Álvaro Ferllo,,,https://img.a.transfermarkt.technology/portrait/big/453704-1694431085.jpg,453704.0,,,,,
Germán Parreño,300000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/126746-1447228190.jpg,126746.0,,,,,
Eric Puerto,200000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/786130-1700588718.jpg,786130.0,,,,,
L. Noubi,1500000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/743379-1663871275.jpg,743379.0,,,,,
Dani Barcia,1200000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/857949-1702404739.jpg,857949.0,,,,,
Arnau Comas,500000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/388542-1588012945.jpg,388542.0,,,,,
G. Quagliata,1500000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/458777-1658899170.jpg,458777.0,,,,,
Sergio Escudero,100000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/93935-1447239922.jpg,93935.0,,,,,
Adrià Altimira,,,https://img.a.transfermarkt.technology/portrait/big/466807-1761075979.jpg,466807.0,,,,,
Miguel Loureiro,1000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/400104-1694422710.jpg,400104.0,,,,,
Ximo Navarro,100000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/184767-1647530854.jpg,184767.0,,,,,
José Gragera,1500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/557147-1664207582.jpg,557147.0,,,,,
Riki Rodríguez,1400000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/596899-1745337795.jpg,596899.0,,,,,
Diego Villares,800000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/590687-1702404812.jpg,590687.0,,,,,
C. Patino,600000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/581674-1683023729.jpg,581674.0,,,,,
Noé Carrillo,,,https://img.a.transfermarkt.technology/portrait/big/1309177.jpg,1309177.0,,,,,
José Ángel Jurado,,,https://img.a.transfermarkt.technology/portrait/big/187673-1702407781.jpg,187673.0,,,,,
Mario Soriano,3000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/568148-1724424505.jpg,568148.0,,,,,
Yeremay Hernández,25000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/636385-1762939146.jpg,636385.0,,,,,
David Mella,5000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/741256-1733934484.jpg,741256.0,,,,,
Luismi Cruz,1400000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/610461-1647594517.jpg,610461.0,,,,,
Stoichkov,500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/271021-1572959967.jpg,271021.0,,,,,
S. Mulattieri,2500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/457422-1686814443.jpg,457422.0,,,,,
Z. Eddahchouri,2000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/519651-1599332479.jpg,519651.0,,,,,
B. Nsongo,500000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/1299392-1779655212.jpg,1299392.0,,,,,
Cristian Herrera,100000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/237617-1545147445.jpg,237617.0,,,,,
Jokin Ezkieta,2500000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/379548-1605894574.jpg,379548.0,,,,,
S. Eriksson,2000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/1088712-1757615371.jpg,1088712.0,,,,,
F. González,350000.0,,https://img.a.transfermarkt.technology/portrait/big/1067605.jpg,1067605.0,,,,,
Javi Castro,1800000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/740253-1702509967.png,740253.0,,,,,
Manu Hernando,1400000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/396161-1724514640.jpeg,396161.0,,,,,
Pablo Ramón,1000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/629511-1712568179.jpg,629511.0,,,,,
Jorge Salinas,5000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/1262996-1767015263.jpg,1262996.0,,,,,
Mario García,900000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/889459-1779006054.jpg,889459.0,,,,,
Álvaro Mantilla,900000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/636116-1652953291.jpg,636116.0,,,,,
Marco Sangalli,200000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/197131-1623920261.jpg,197131.0,,,,,
M. Gueye,,,https://img.a.transfermarkt.technology/portrait/big/933795-1779005844.jpg,933795.0,,,,,
G. Puerta,10000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/936981-1695368256.jpg,936981.0,,,,,
Aritz Aldasoro,2000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/663258-1750847928.jpg,663258.0,,,,,
Sergio Martínez,2000000.0,2029-06-30,https://img.a.transfermarkt.technology/portrait/big/1393961-1764753165.jpg,1393961.0,,,,,
Íñigo Sainz-Maza,1000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/522730-1652944518.jpg,522730.0,,,,,
Peio Canales,8000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/1056966-1709678026.png,1056966.0,,,,,
Iñigo Vicente,6000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/335216-1711381338.jpg,335216.0,,,,,
Andrés Martín,7000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/531277-1744710284.jpg,531277.0,,,,,
